==========================
Total: 269 (High:59 Medium:169 Low:41 ?:0), 146/269 Fixed, 1151 installed, 248 updatable, 12 exploits, en: 7, ja: 0 alerts

+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
|      CVE-ID      | CVSS | ATTACK | POC |  CERT  |  FIXED  |                        NVD                        |
+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
| CVE-2014-6277    | 10.0 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-6277    |
| CVE-2014-6278    | 10.0 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-6278    |
| CVE-2018-15686   | 10.0 |  AV:L  | POC |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-15686   |
| CVE-2019-11811   | 10.0 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-11811   |
| CVE-2015-9289    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-9289    |
| CVE-2016-4608    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4608    |
| CVE-2016-4609    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4609    |
| CVE-2016-4610    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-4610    |
| CVE-2017-12652   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12652   |
| CVE-2018-1000076 |  9.8 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000076 |
| CVE-2018-12327   |  9.8 |  AV:L  | POC |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12327   |
| CVE-2018-1312    |  9.8 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1312    |
| CVE-2018-14599   |  9.8 |  AV:A  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14599   |
| CVE-2018-14600   |  9.8 |  AV:A  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14600   |
| CVE-2018-16402   |  9.8 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-16402   |
| CVE-2018-16428   |  9.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-16428   |
| CVE-2018-18751   |  9.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-18751   |
| CVE-2019-0160    |  9.8 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-0160    |
| CVE-2019-10126   |  9.8 |  AV:A  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10126   |
| CVE-2019-10160   |  9.8 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10160   |
| CVE-2019-11068   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-11068   |
| CVE-2019-12450   |  9.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12450   |
| CVE-2019-12900   |  9.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12900   |
